author,text,likes,TextBlob_Score,LLM_Sentiment,TextBlob_Label
@paulpanther8427,Lasst uns die 10 Millionen Marke knacken..teilt überall dieses schöne Interview..🥰😘,77,1.0,POSITIV,POSITIV
@zownes612,Hier wegen Frau Esken 😂,74,0.0,NEUTRAL,NEUTRAL
@ivonnecaro9971,Meinen größten Respekt an beide ... schon ewig keine so klare Unterhaltung gesehen wie diese. Ich finde dieser Podcast diese Unterhaltung hat den höchsten Respekt verdient. Man sollte es wirklich zu 100% hören ... Danke Ben,63,0.5,POSITIV,POSITIV
@petrastaudigl4182,Seitdem ich deine Podcasts gefunden habe höre ich überhaupt Podcasts. Jeder einzelne ist unbezahlbar. Vielen Dank für deine Plattform ❤,61,-0.167,POSITIV,NEGATIV
@olerheinland,Danke für dieses Interview!,60,0.0,POSITIV,NEUTRAL
@MrJogi67,"Sehr interessante Diskussion und ich sehe keinen NAZI, Ich sehe einen sehr gebildeten Bürger, welcher die Interessen des Deutschen Volkes und Staates vertritt und dafür einsteht. Er legt die Finger in die Wunde und zeigt die Einschränkungen der Meinungsfreiheit auf. Millimeter für Millimeter wurde sie eingeschränkt, um jegliche Kritik zu verhindern.",58,0.05,POSITIV,NEUTRAL
@n.b.8450,Vielen Dank für diese Interview.,57,0.0,NEUTRAL,NEUTRAL
@Ithron60,"Glaube das ist das erste mal, dass ich Björn Höcke mal an einem Stück SELBST reden höre. Hoch interessanter Mann",56,0.5,POSITIV,POSITIV
@leonileo-z2t,Vielen Dank für dieses Interview!!,55,0.0,POSITIV,NEUTRAL
@josef6642,"Hochintelligenter,Gebildeter Mann,den will man natürlich los werden!
Machen Sie weiter so Herr Höcke,Gott schütze sie und ihre Familie!
Vielen Dank für dieses Interview",55,0.233,POSITIV,POSITIV
@FliegendesKaenguru,"Ich habe mir noch nie 4:30 Std. Nen Podcast gegeben.
Ein Gespräch auf Augenhöhe, sehr gut gemacht",55,0.333,POSITIV,POSITIV
@svenkreitschinski1951,"Vielen Dank an Sie beide für dieses sehr interessante Interview! So sollte es eigentlich immer laufen und so schenkt es Vertrauen!
Gottes Segen Ihnen beiden.",54,0.167,POSITIV,POSITIV
@cAPSLOCK_PBS,"Ben du triffst mit deinem Format den Zahn der Zeit, an der Stelle mal ein Dankeschön für viele interessante Podcast Stunden",53,1.0,POSITIV,POSITIV
@Silberstreif-o6s5b,"Je länger ich zuhöre, um so besser finde ich das Gespräch.",53,0.0,POSITIV,NEUTRAL
@Gabi-ul2ej,Wow.......bester Geschichtsunterricht ever.....❤️-lichen Dank dafür,53,0.0,POSITIV,NEUTRAL
@MichaelRuss-h3u,"Wow, Hammer Interview. Endlich dürfte er mal reden",52,0.0,POSITIV,NEUTRAL
@AS-rc1lv,Gestern Nacht 3.5 Stunden am Stück und heute noch die letzte Stunde. Ein interessantes Gespräch mit spannenden Themen und Einblicken. Ich kann verstehen weshalb die Nervosität bei anderen Parteien wächst.,52,0.333,POSITIV,POSITIV
@GardenArcher7625,"Schön, dass das Video bald über 5 Mio Aufrufe hat - endlich BILDEN sich die Leute mal ..",49,1.0,POSITIV,POSITIV
@misterbutter7934,Das Interview ist innert zwei Wochen durch die 5 Millionen Marke geknallt! Danke Ben für deine wertvolle Arbeit!,378,0.5,POSITIV,POSITIV
@realo999,"5 Millionen, ein Meilenstein!",343,0.0,NEUTRAL,NEUTRAL
@stefanmaciohsek73,"Gratulation zu 5 Millionen Aufrufen, alleine bei You Tube und das in noch nicht mal 14 Tagen. Respekt und noch mal herzlichen Dank für dieses aufschlussreiche und unvoreingenomme Gespräch!",213,0.5,POSITIV,POSITIV
@lueml1,5 Millionen Aufrufe! Glückwunsch Ben zu deinem Erfolg💪 Wir freuen uns auf weitere interessante Gäste...,163,0.5,POSITIV,POSITIV
@untergrundfinest,"Dieses Gespräch muss ganz Deutschland hören!! 👏👏
Der Kommentar dient dem Algorithmus 👍👍🇩🇪",160,0.0,POSITIV,NEUTRAL
@mytwocents5151,Glückwunsch zu 5 Millionen Aufrufen und 98% Daumen hoch!👏,114,0.7,POSITIV,POSITIV
@nicoleholzer2719,"Vielen herzlichen Dank für ein hochinteressantes, lehrreiches, informatives, sachliches und wunderbar angenehmes Interview. Bitte machen sie beide so weiter.",105,0.5,POSITIV,POSITIV
@MarkChristianKretschmann-g8x,"Es hat mir so gut gefallen mal ein niveauvolles Interview zu verfolgen. 
Danke.",97,0.0,POSITIV,NEUTRAL
@Andreas-2212,... dieses Interview ist und wird in die Geschichte eingehen!,96,0.0,POSITIV,NEUTRAL
@mikak.8926,"Ich bin '88 auf eine Gesamtschule gekommen, in der nicht mal die Hälfte der Schüler in der Klasse deutsch geboren waren und schlecht deutsch sprachen. Und auch damals schon gab es Jungen aus muslimischen Ländern, die nicht muslimische Mädchen, gelinde gesagt respektlos behandelten.
Ich bin im ""Ghetto "" groß geworden mit sehr viel Multikulti, aber auch sehr viel Gewalt. 
Ich finde, auch die deutschen sollten das Recht haben, Ihre Werte bewahren zu können",84,0.058,POSITIV,NEUTRAL
@eifelpommer2538,"Die 5 Mio. und Frau Esken haben mich neugierig gemacht und heute habe ich mir ein eindeutig anderes Bild von Herrn Höcke machen dürfen. Gut, dass Du dich getraut hast, Björn Höcke einzuladen. Der Bedarf durch den Ausschluß des ÖRR ist riesengroß. Vielen Dank an Ben und Frau Esken!",72,0.212,POSITIV,POSITIV
@satoshinakamoto3623,Gratuliere zu den 5 Millionen ❤,72,1.0,POSITIV,POSITIV
@Micaelaaaaaalaaalaaa,"5 Millionen Aufrufe!
Geilo! Herzlichen Glückwunsch lieber Ben!❤🎉",71,0.333,POSITIV,POSITIV
@ultra7422,Er spricht Millionen Menschen  aus dem Herzen. Danke,71,0.0,POSITIV,NEUTRAL
@Chris4Dogs,"Sehr authentisch und interessant. Volle 4 1/2 Stunden wo Vorallem der Gast im Vordergrund steht und nicht der Moderator !
Dachte nicht das so etwas heute noch möglich wäre. Daumen hoch !",69,0.425,POSITIV,POSITIV
@SomeoneSayyys,"Großartig, vielen Dank für dieses interessante Interview! 👏",62,0.25,POSITIV,POSITIV
@Silberstreif-o6s5b,"So schön, wenn jemand auf eine Frage die Zeit hat nachzudenken (und das auch tut). Tolles Gespräch!",61,1.0,POSITIV,POSITIV
@berndheier8070,Herzlichen Glückwunsch zu den 5 Mio.!,61,1.0,NEUTRAL,POSITIV
@Martin-ob5lu,Danke Frau Esken dass Sie mich auf diesen Podcast aufmerksam gemacht haben.,60,1.0,NEUTRAL,POSITIV
@nikkay98,"Danke Ben, top Interview ❤",57,1.0,POSITIV,POSITIV
@sandrobendig1795,"Vielen Dank für das tolle Interview, so hat man Herrn Höcke sehr gut kennengelernt.",53,0.667,POSITIV,POSITIV
@PeterZweifel-mw4dn,"Ein wahrhaftiger und ein ehrlicher Mensch. In all den Dingen, die er sagte, stimme ich zu 100 % überein. Er wäre der richtige Kanzler für Deutschland.",51,0.667,POSITIV,POSITIV
@dschulia2893,Ich bin von dem Höcke und seinem gesunden Menschenverstand zutiefst beeindruckt. Vieles hat mich bis zu den Tränen gerührt. Ein sehr guter und vor allem intelligenter Mensch.,48,0.433,POSITIV,POSITIV
@willi9112,"Danke Esken für dein Hinweis auf diese hervorragende Sendung. Wäre ich ein Unternehmer hätte ich ein Werbevertrag mit ""Ben ungeskriptet"" gemacht.",47,0.5,POSITIV,POSITIV
@carlossolneman81,"Sehr interessantes Gespräch. Chapeau für Ihren Mut, Ben.",46,0.5,POSITIV,POSITIV
@F.K-wv7pi,Das ist Demokratie! Danke für deine Arbeit,145,0.0,POSITIV,NEUTRAL
@a.kazmierczak4188,"Ich möchte mich bei Frau Esken dafür bedanken, daß Sie mich auf dieses tolle  Video aufmerksam gemacht hat.",133,0.925,NEUTRAL,POSITIV
@DerSchattenschüttler,"Über 5 Millionen Aufrufe, da freut sich die Saskia.",118,1.0,NEUTRAL,POSITIV
@robinho2027,"Sehr starkes Interview! 
Wirkt überhaupt nicht so, wie er immer medial dargestellt wird. 

Bitte mehr davon!",106,0.0,POSITIV,NEUTRAL
@BlueSunset2202,"Dieser Kommentar dient den Algorithmus,  damit dieses  grandiose Gespräch,  mehr erreicht",81,0.0,POSITIV,NEUTRAL
@a.m.7689,Sehr angenehmes Gespräch und Herr Höcke hat in vielem so recht.,79,1.0,POSITIV,POSITIV
@Baumi62,"Danke 🙏 das es dieses Format der freien Meinungsäußerung gibt! Nun kann jeder Zuschauer selbst beurteilen, wie er zu Herrn Höcke stehen möchte.",79,0.85,POSITIV,POSITIV
@Timbertruck_Veikko,"5,1 Millionen in drei Wochen 💪 Gruß aus Finnland 🇫🇮",77,0.0,NEUTRAL,NEUTRAL
@sonibe100,Vielen Dank für dieses tolle Interview!,76,0.5,POSITIV,POSITIV
@jimmyjones4966,Dieses Interview war wichtig!,68,0.7,POSITIV,POSITIV
@ankedorwald6646,Super Interview  und  den Herrn Höcke fand ich vorher schon sympathisch aber jetzt noch mehr.Danke !!!,61,0.333,POSITIV,POSITIV
@martinaweiss4818,"Diese entspannte und ruhige Atmosphäre ist  angenehm. Pausen und Stille mal auszuhalten tut so gut. Die Gedanken fließen zu lassen mit der Zeit, die das braucht, hilft dem besseren Verständnis! Daaanke für dein Abwarten und für den offensichtlichen Respekt.",58,0.463,NEUTRAL,POSITIV
@salam3731,Vielen Dank für das Interview ❤,58,0.5,POSITIV,POSITIV
@thomasmozelt883,"Diesen Mann würde ich das Land sofort anvertrauen! So viel selbst Reflektion ,Vaterlandsliebe und vor allem Intellekt",52,0.35,POSITIV,POSITIV
@lokadi74,"Habe mir das Teil jetzt am Stück gegeben. Sehr lang, aber auch eine sehr angenehme, im gegenseitigen Respekt stehende Gesprächsatmosphäre. Mir hat dieses permanente ""ins Wort fallen"" fast schon gefehlt, hatte mich irgendwie schon daran gewöhnt. Chapeau!",50,0.0,POSITIV,NEUTRAL
@ally_571,"Danke Ben 🙏 , dass Du dieses Format machst.",49,0.0,POSITIV,NEUTRAL
@Dheinrichs83,Danke dass ich auf das Video aufmerksam gemacht wurde,48,1.0,NEUTRAL,POSITIV
@Che1_atx,"Jeder Mensch, der nicht annehmen kann, was dieser Herr sagt, ist kein Demokrat.
Ich sehe keinen Rechtsextremisten, sondern einen hochintelligenten besorgten Vater und Menschen, der das Leben und sein Volk liebt und ihr mit Leib und Seele dienen will.",47,0.0,POSITIV,NEUTRAL
@bluthexer9152,"Wenn normale Menschen miteinander einen Dialog führen - genau das ist es. Danke, jetzt weiß ich, dass ich die AfD wähle, auf jeden Fall.",47,0.35,POSITIV,POSITIV
@Botschafter_der_Herzen,Das war ein großer Dienst für unsere Freiheit. Danke🙏,45,0.35,POSITIV,POSITIV
@Frl.PanTau,Schön das sich so viele Menschen einfach ein Ur eigenes  Bild machen können wenn Sie wollen.,44,0.567,POSITIV,POSITIV
@A.L-u8b,"5 Millionen. 
Meinungsfreiheit ist Verfassungsgut. 👍",44,0.0,POSITIV,NEUTRAL
@mckumfi,"Super Interview, danke dafür! :)",43,0.0,POSITIV,NEUTRAL
@franziskascharen8340,"Danke. Unabhängig, mutig, Substanz. Danke🙏🙏",43,0.333,POSITIV,POSITIV
@picka313,"Bodenständig, intelligent und patriotisch. Guter Mann, der Herr Höcke.  Gruß von einem Serben.",42,0.667,POSITIV,POSITIV
@rudimentar1814,"Danke Frau Esken, durch dich bin ich sogar in den USA auf dieses Interview aufmerksam geworden.",146,1.0,POSITIV,POSITIV
@fitnessclubeisenerzgeraldw4798,"Kannte diesen Hr. Höcke nicht wirklich und auch nicht diesen Kanal. Hab aber durch Zufall mitbekommen wie diese Esken empört über dieses Interview war. Aus Neugier habe ich es angeschaut und tatsächlich die ganze 4 1/2 Stunden, weil es echt Interessant war. Dieser Hr. Höcke hat doch durchwegs vernünftige Ansichten und musste zusammen mit seiner Familie einiges ertragen. Bei diesen linken Extremisten muss man ja mittlerweile mit allem rechnen und wird von der Regierung anscheinend geduldet.
Respekt auch an Ben für die Art und Weise wie das Interview gemacht wird. Da können sich die Öffentlichen was abschauen. Abo wurde gemacht und in Zukunft werde ich diesen Kanal auch weiter verfolgen. 👍",64,-0.045,POSITIV,NEUTRAL
@ralfglowna2048,Dieses Interview nicht gesehen zu haben ist eine Bildungslücke!!! Ein sehr standhafter Mensch 👍,63,0.0,POSITIV,NEUTRAL
@AS-zb4wp,War ein tolles Interview!,60,1.0,POSITIV,POSITIV
@berndwyhlidal2475,Herzlichen Dank für dieses ruhige und sachliche Interview. Danke.,48,0.45,POSITIV,POSITIV
@sltv959,"Ein Politiker mit Haltung und Rückgrat. Wirklich angenehm mal kein rumgeschreie, sondern ruhiges besonnenes Auftreten zu sehen.",47,0.425,POSITIV,POSITIV
@xXxTaminoxXx,"Vielen Dank für dieses tolle Interview, ein offenes und faires Miteinander.
Danke Herr Höcke und Ben weiterso",45,0.338,POSITIV,POSITIV
@MN-ph4js,"Ein gebildeter kultivierter Mensch, der sich offen mit den Geschehnissen auseinandersetzt und  sich danach ausgerichtet hat. Das ist  eine wünschenswerte Entwicklung für einen Menschen. Wach bleiben und reagieren auf die eigenen Gedanken.",44,0.567,NEUTRAL,POSITIV
@Moccamurmel,"Sehr gutes Gespräch, selbst reden und den anderen aussprechen lassen. Schade das dass nicht mehr normal ist.",44,-0.294,POSITIV,NEGATIV
@HeikeOtto,Danke Ben für Deinen Mut. Und danke für dieses informative und bereichernde Gespräch. ❤️❤️❤️,44,0.0,POSITIV,NEUTRAL
@NRGx,D A N K E ! ! !  Für dieses Interview ! Noch ist die Hoffnung nicht verloren.,41,0.0,POSITIV,NEUTRAL
@silkeb.5034,"Wirklich angenehm das Gespräch zu verfolgen. Man hat selten die Gelegenheit Herrn Höcke aussprechen zu hören.
Ich hoffe, dass dieses Video noch viele Menschen erreicht",41,0.117,POSITIV,POSITIV
@suha9085,"Nach diesem Interview, müsste eigentlich verstanden werden, wo aktuell die Probleme wirklich liegen.",39,1.0,NEUTRAL,POSITIV
@zorba444,"Danke für das tolle Gespräch.
Weiter so! 
Herzliche Grüsse aus der Schweiz",36,0.667,POSITIV,POSITIV
@Nana-fl9bo,"Niemand wird mehr gehasst, als derjenige, der die Wahrheit sagt.",36,-1.0,POSITIV,NEGATIV
@sergejpik,"Danke Ben. Danke Herrn Höcke. 
Ich stehe zu 100% hinter Ihnen!",34,0.0,POSITIV,NEUTRAL
@P-San1,"Ein Volk, das ewig in Schuld gehalten wird, hat keine Zukunft.",32,0.0,NEGATIV,NEUTRAL
@rothkelchen3319,"Danke für dieses Interview. Als Demokratin und selbstdenkender Mensch will ich mir meine Meinung aus O-Tönen bilden. Hier hatte ich dazu die Möglichkeit. Frau Eskens hat  sich mit ihrer unverschämten Forderung nach ""canceling"" für mich als undemokratisch geoutet.",31,-0.25,POSITIV,NEGATIV
@sabineu-r4101,Ultra hochinteressant. Während meiner Schulzeit habe ich den Geschichtsunterricht nur abgesessen. Hier werde ich mir alles anhören. Auch die familiären Einblicke sind zum Verständnis wertvoll. Vielen Dank.,31,0.2,POSITIV,POSITIV
@jensbvb09,"Super von Mensch zu Mensch , frei",31,0.85,POSITIV,POSITIV
@holladiewaldfee1579,Danke für das gute Interview- 👍,31,1.0,POSITIV,POSITIV
@artp.9211,Super Interview! Der Mann ist komplett anders als es in der Mainstreampresse dargestellt wird,31,-0.5,POSITIV,NEGATIV
@autobahnDIY,Höcke-Welle nimmt Kurs auf 100.000 Kommentare. 😀💙🌊,30,0.0,NEUTRAL,NEUTRAL
@mchess100,5.2 Mio 🥰🥰🥰👍👍👍🫶🫶🫶 Gratuliere Ben und Björn Höcke,29,0.0,POSITIV,NEUTRAL
@kittycat-90s,"Absolut historisches Interview. Wenn sich in Deutschland nicht schnell etwas ändert, wird dieses Jahr in 10 Jahren nicht mehr als Deutschland zu erkennen sein. Es ist ja jetzt schon extrem zum Schlechten verändert in den Großstädten",29,0.175,POSITIV,POSITIV
@Jesuslovesyou782,"Der Lehrer Höcke. Ich bin sehr betroffen, dass so eine besonnene und gebildete Person zum Monster gemacht wurde. Die Wahrnehmung unserer Gesellschaft ist nur noch krank. Ben du riskierst hier so viel für diese Bühne, meine Hochachtung.",77,0.0,POSITIV,NEUTRAL
@Symphonie9,"Ich musste jetzt nochmal reinschauen und habe meinen Augen fast nicht getraut!
5,2 Millionen!!!!
Ben, das zeigt dass du deine Sache unglaublich gut machst und es der richtige Weg ist.  DANKE!",63,0.163,POSITIV,POSITIV
@franzbranntwein4212,"Herrlich, danke Frau Esken, für die weitere Steigerung der Abrufe auf nun 5,2 Millionen! 😉👍👍",63,0.5,POSITIV,POSITIV
@InaBauer-f8x,Beeindruckend ehrliches Interview.,60,1.0,POSITIV,POSITIV
@ulrikes.6585,Ein im besten Sinne sehr beachtenswertes Gespräch! Danke dafür!,59,0.0,POSITIV,NEUTRAL
@elektrotechnikphilippskott5408,"Absolute Hochachtung an dich, in dieser doch sehr bedenklichen Zeit, so einen Gesprächspartner einzuladen. Dazu gehört leider heute eine Menge Mut! Vielen Dank aber auch an Herrn Höcke!!! Das war ein Paradebeispiel, wie ein Gespräch laufen kann, bzw. muss! Jeder, der wirklich ein Demokrat sein möchte, sollte sich solche Gespräche anhören, um zu begreifen, was Menschen wirklich antreibt. Zumal ich alle Fragen und Antworten unterstreichen kann und auch mitgehe. Ich hoffe wirklich, dass wir, natürlich im demokratischen Sinn, noch die Kurve bekommen. So, wie es jetzt läuft ist der Diskurs absolut vergiftet. Ein giftiger Diskurs darf in einer wirklichen Demokratie keinen Platz haben. Dieser ist aber nach meiner Wahrnehmung deutlich vorhanden. Daher vielen Dank für die kurzweiligen 4,5 Stunden von beiden Seiten. Richtig klasse!",57,0.362,POSITIV,POSITIV
@kerstinbambuch4741,ich habe jede Minute  mit Freude verfolgt. Ganz großes Dankeschön an euch beide.,49,-0.15,POSITIV,NEGATIV
@Realistin66,Tolles Interview ... !!!,47,0.25,POSITIV,POSITIV
@Martin2521994,Danke für das gute Interview,44,1.0,POSITIV,POSITIV
@murataydin3912,"Allein die Tatsache das man 4:30 Std einem Politiker beim reden zu hören kann, ist beeindruckend.",42,0.15,NEUTRAL,POSITIV
@Timbertruck_Veikko,"Ben mach weiter so, Gruß aus Finnland 🇫🇮",42,0.0,NEUTRAL,NEUTRAL
@inessatemplin1858,"Ich bin entsetzt, als was für ein Monster dieser reflektierte und hoch intelligente Mensch in den deutschen Medien dargestellt wird! Chapeau für den Mut dieses Interview zu führen. Ich denke es wird vielen Menschen die Augen öffnen und einiges an Vorverurteilung aus dem Weg räumen. Hoffentlich sehen es noch viele weitere 🙏🏼",40,0.0,POSITIV,NEUTRAL
@VornameNachname-g7k,Gratuliere zu 100k Kommentaren!,40,0.0,NEUTRAL,NEUTRAL
@jesusundderosterhase9071,Danke Ben.,39,0.0,NEUTRAL,NEUTRAL
@Unique4ever11,🫡🔝🔝 Endlich mal ein normales Gespräch auf Augenhöhe!! Nicht so wie im ÖRR,38,0.35,POSITIV,POSITIV
@martin6662,"Super, weiter so...",38,1.0,POSITIV,POSITIV
@alex.6911,Danke Saskia 💙🙃,38,0.0,NEUTRAL,NEUTRAL
@misterb6456,"Es ist schön zu sehen, dass die Situation eskeniert ist. So viele neue Abonnenten. Gratulation.",38,0.333,NEUTRAL,POSITIV
@martinlangowski687,"Jetzt versteh ich auch warum die Politiker anderer Parteien Angst vor ihm haben !!!
Er ist einfach intelligenter als der Rest!!!
Cooler Typ mit der richtigen Einstellung.
Ahh hätte ich fast vergessen, Ben danke für die Neutrale Unterhaltung 💪💪💪weiter so!!",37,0.192,POSITIV,POSITIV
@stefaniejensen9002,"Sehr klasse  danke für das Interview. 
Ich hoffe das immer mehr Menschen mal hinter die Kulissen schauen und nicht  nur Mitläufer zu sein. 💙👍",37,0.117,POSITIV,POSITIV
@RolfBühler-f4m,"Sehenswert, kein ständiges Dazwischengequatsche von irgendwelchen Besserwissern, auch wenn man nicht unbedingt mit allen Punkten übereinstimmt.",36,0.7,POSITIV,POSITIV
@greenext-y6s,Dank Esken bin ich auf dieses spannende Video gestoßen! Möge Esken noch lange ihre Wirkung für die SPD ausüben.,36,0.5,POSITIV,POSITIV
@BenDurden-w3u,Kommentar 100.000 🎉🎉🎉 Gratulation an Ben & Björn 🎉❤,35,0.0,POSITIV,NEUTRAL
@annebonny8600,"Ein ganz tolles Gespräch,was mir nochmal einen tieferen Einblick in die desolate Situation Deutschlands gegeben hat. Beide Gesprächspartner sind ganz tolle Menschen .Vielen Dank.",33,1.0,POSITIV,POSITIV
@jandusterbeck7271,"ich hab mit das jetzt in Etappen zwei mal angehört. Was ich immer mehr bewundere, das ist die Beherrschung und innere Haltung von Höcke. Trotz der fast unmenschlichen Zumutungen seit seinem Weg in die Politik hält er an seinen prinzipien fest und wirkt auch überhaupt nicht verbittert. Das ist Charisma. Was für Lichtjahre im Vergleich mit Leuten wie Merz, Laschet und anderen",30,-0.06,POSITIV,NEUTRAL
@andreb.7600,Danke für dieses tolle Interview. Mehr gibt es nicht zu sagen!,60,0.5,POSITIV,POSITIV
@sonjaeilerseilers7496,"Ein total schönes Interview, es war einfach schön 4h euch zuzuhören  ohne Unterbrechung Dankeschön",59,1.0,POSITIV,POSITIV
@ronaldwittig1472,"Ein wirklich tolle Interview, kein dazwischen bequatsche. Sehr sachlich. Und ein souveräner Björn Höcke.",54,0.667,POSITIV,POSITIV
@wolfgangpless2184,"Glückwunsch!!!
 Über 5,3 Millionen Aufrufe in 2 Wochen!
Danke Ben für dieses authentische,  atmosphärisch-warmherzige und sehr informative und spannende Interview. Eine journalistische Glanzleistung!
Lieber Björn, Danke für deinen unermüdlichen und aufopferungsvollen Einsatz für unser Vaterland. TIEFEMPFUNDENEN DANK!",54,0.283,POSITIV,POSITIV
@NightmareBabe89,"Ben du machst es genau richtig! Sehr interessant, Dank dir 😊",49,1.0,POSITIV,POSITIV
@stefanbollert851,"Wow was für ein interessantes Interview. 
Es ist schon mal Gäste frei sprechen und ausreden zu lassen ohne Hintergedanken und mal wirklich entspannte Gäste zu erleben. Danke für deinen tollen Kanal und deine tolle Arbeit.",49,0.95,POSITIV,POSITIV
@raidannn,"Bestes Interview EVER 👌 so muss das sein ehrlich, respektvoll  und unvoreingenommen",43,1.0,POSITIV,POSITIV
@wasawasa-cr8be,❤ Danke für den Beitrag,42,1.0,NEUTRAL,POSITIV
@marcunbekannt2210,"Ich sehe diesen Mann nun mit ganz anderen Augen, furchtbar wie sehr man ihn doch verteufelst hat.",39,-1.0,POSITIV,NEGATIV
@MagicExe,"Was für ein Dialog, ich bin begeistert. Was ihr zwei hier zelebriert ist Kommunikation auf höchstem Niveau.",39,0.5,POSITIV,POSITIV
@RolandSiegfried-x2w,"Gruss aus der Eidgenossenschaft. Ruhige, sachliche Gesprächsführung führt zu einem interessanten Gespräch. So sollte es doch sein. Bravo.",39,0.25,POSITIV,POSITIV
@michaelv4814,"Also ich fand das Interview wirklich sehr interessant. Ich habe Herrn Höcke als sehr interessanten Menschen erlebt. Er wirkt offen und hat klare Ziele. 

Also seine Ansichten im Interview decken sich nicht mit Berichterstattungen der Medien. 

Tolles Gespräch! Danke Ben!",38,0.667,POSITIV,POSITIV
@AndyShibshuba,"Bei Ben fühlt man sich wohl❤. 
Ein geistig gesunder Mensch braucht keine Einordnung. Man bildet sich einfach selber eine Meinung. ❤😊",37,0.425,NEUTRAL,POSITIV
@Things445,Toll Ben mach weiter so 👍,36,1.0,POSITIV,POSITIV
@ninametzger2284,"Danke an Ben, Danke an Björn Höcke!",36,0.0,POSITIV,NEUTRAL
@FranziskaLademann,"Ich bedanke mich für das informative gespräch, an beide Herren.",35,0.0,NEUTRAL,NEUTRAL
@LianeGrothe-e8k,"Mit Ben Bernds Höcke-Interview wurde es gemacht wie mit Sarazzins Buch ""Deutschland schafft sich ab"" - Interview nicht gehört, Buch nicht gelesen, aber von den linken Medien in der Luft zerrissen. Der Interviewfaden von BB war sehr gut durchgezogen, keinesfalls mangelhaft.",35,0.15,POSITIV,POSITIV
@BrigitteRiedel-n8i,"Wie geil , 5, 3 Millionen Aufrufe",35,0.7,POSITIV,POSITIV
@anikahillebrand7517,So stelle ich mir Interviews vor 👍🏻,35,0.0,POSITIV,NEUTRAL
@ben36665,Hätten auch 40 Stunden sein können. Was für ein eloquenter und offener Mann!,32,0.0,POSITIV,NEUTRAL
@manucherputzig5196,"Wow,endlich mal vernünftiger journalismus...wahnsinn,das man das noch erleben darf,unglaublich.danke",32,0.0,POSITIV,NEUTRAL
@wICHt-t2e,"Starkes Interview. Besonders positiv war die offene und unscripted Atmosphäre zwischen Björn Höcke und Ben. Keine künstliche Inszenierung, sondern ein ruhiges, direktes Gespräch mit Raum für ausführliche Antworten. Genau solche authentischen Formate wünschen sich viele Zuschauer heute. Danke 💙",32,0.58,POSITIV,POSITIV
@AndyShibshuba,"Bin total begeistert. Ein ehrliches Format. Was eigentlich immer wieder Spaß macht ❤. 
Einfach ausreden lassen......
Der Örr schafft diese Aufrufzahlen nicht. Komisch!?😂",31,0.671,POSITIV,POSITIV
@Luna-rz7xb,"Wow, Danke für das Interview!
Ich bin beeindruckt. Von Beiden.",30,0.0,POSITIV,NEUTRAL
@kingakohler8813,"Danke für dieses Gespräch.  Herr Höcke,  vielen Dank für diese Sichtweise.  Ihre Liebe zu Deutschland berührt mich sehr.
Danke Danke Danke",28,0.0,POSITIV,NEUTRAL
@spiressilver7658,"Meine Eltern kamen damals als Gastarbeiter nach Deutschland und haben sich integriert. Ich bin hier geboren und aufgewachsen und habe das Land als Kind der 80er wunderschön erlebt. Wir haben diese deutsche Kultur zu schätzen und lieben gelernt, wir sind alle teil dieser Gesellschaft gewesen. Und jetzt kommen Menschen in dieses Land für die, die Türkei nicht muslimisch genug ist diese Menschen werden sich niemals anpassen sondern sie werden ihre Umgebung zu dem Formen von wo sie hergekommen sind. Und das sage ich sie jemand der türkische Wurzeln hat. Ich möchte dass meine Kinder genau diese sicherheit haben wie wir es damals hatten. Aus diesem Grund finde ich das Herr Höcke absolut recht hat. Ich musste obwohl ich in Deutschland geboren und aufgewachsen bin den deutschen Ausweis beantragen es war nicht so einfach den deutschen Pass zu kriegen und das war auch richtig so.",48,0.569,POSITIV,POSITIV
@alexmellis7390,"Endlich mal ein Gespräch ohne Framing, ohne Gaslighting, ohne emotionale Manipultation der Zuhörer. Das zeigt wieder warum der ÖRF abgeschafft gehört. Das hier ist eine ganz andere Welt. Und es tut so gut, einen Menschen hören zu dürfen und sich selber ein Bild machen zu dürfen. Vielen Dank dafür.",47,0.2,POSITIV,POSITIV
@magnusstoerk,"Coolstes Interview ever. 
Wir dürfen uns nicht spalten lassen. Gemeinsam sind wir stark, einsam sind wir leicht zu führen.",40,-0.233,POSITIV,NEGATIV
@nickyzedlick4087,"Ich habe es endlich geschafft es vollständig anzusehen. Ein ganz großartiges und auch bewegendes Gespräch. Es hat Spaß gemacht es zu verfolgen.Wirklich interessant. Das hast du wieder außerordentlich gut gemacht. 
An dieser Stelle möchte ich auch einmal sagen,dass es mich wirklich schockiert und traurig macht, wenn man hört was die Familie und vor allem die Kinder von Herrn Höcke erleben müssen. Man muss seine Meinung oder seine Arbeit nicht mögen,aber diese Bedrohungen sind widerlich und gehen absolut zu weit. Unfassbar. 
Danke für deine Arbeit lieber Ben. 👍🏻 Ich hoffe noch mehr Menschen schauen sich dieses Gespräch an und verstehen das dort ein Mensch sitzt, ein Ehemann und Familienvater, mit einer eigenen Meinung und Weltanschauung, die absolut legitim sind, auch wenn man selbst gewisse Dinge anders sieht.",40,0.381,POSITIV,POSITIV
@HabHoffnung,"5,4 Mio!!!🤩",36,0.0,NEUTRAL,NEUTRAL
@michaelolbrich7978,Ein super Interview Klasse 👍 ein Mann der mir aus der Seele spricht,31,1.0,POSITIV,POSITIV
